age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
30,13,1,1,2174,0,40,0
50,13,1,1,0,0,13,0
30,9,1,1,0,0,40,0
50,7,0,1,0,0,40,0
20,13,0,0,0,0,40,0
30,14,1,0,0,0,40,0
40,5,0,0,0,0,16,0
50,9,1,1,0,0,45,1
30,14,1,0,14084,0,50,1
40,13,1,1,5178,0,40,1
30,10,0,1,0,0,80,1
30,13,0,1,0,0,40,1
20,13,1,0,0,0,30,0
30,12,0,1,0,0,50,0
40,11,0,1,0,0,40,1
30,4,0,1,0,0,45,0
20,9,1,1,0,0,35,0
30,9,1,1,0,0,40,0
30,7,1,1,0,0,50,0
40,14,1,0,0,0,45,1
40,16,1,1,0,0,60,1
50,9,0,0,0,0,20,0
30,5,0,1,0,0,40,0
40,7,1,1,0,2042,40,0
50,9,1,0,0,0,40,0
50,13,1,1,0,0,40,1
19,9,1,1,0,0,40,0
50,10,0,1,0,0,60,1
30,9,1,1,0,0,80,0
40,9,1,1,0,0,40,0
20,12,1,1,0,0,52,0
20,10,0,1,0,0,44,0
40,13,1,1,0,1408,40,0
30,10,1,1,0,0,40,0
20,10,0,1,0,0,15,0
40,7,1,1,0,0,40,0
20,10,1,1,0,0,40,0
19,9,1,0,0,0,25,0
30,10,1,1,0,0,38,1
40,12,1,1,0,0,40,0
30,5,1,1,0,0,43,0
50,13,1,1,0,0,40,0
20,13,1,1,0,0,50,0
40,9,1,0,0,0,40,0
20,9,1,1,0,0,35,0
50,13,0,1,0,0,40,1
50,9,1,1,0,0,38,0
40,14,1,0,0,0,40,0
40,11,1,1,0,0,40,0
20,11,1,1,0,0,43,0
20,10,0,0,0,0,40,0
18,9,1,0,0,0,30,0
40,15,1,0,0,1902,60,1
50,13,1,1,0,0,55,1
40,9,1,1,0,0,60,0
40,10,1,1,0,0,40,1
40,3,1,1,0,0,40,0
30,11,1,1,0,0,40,0
40,9,1,1,0,0,48,0
30,9,1,1,5013,0,40,0
30,13,1,1,2407,0,40,0
30,4,1,1,0,0,40,0
40,9,1,1,0,0,40,0
40,16,1,1,0,0,45,1
20,10,1,1,0,0,58,0
30,9,1,1,0,0,40,0
20,10,1,0,0,0,40,0
50,9,1,0,0,0,40,1
40,10,1,1,0,0,50,1
20,10,1,1,0,0,40,0
19,10,1,1,0,0,32,0
30,13,0,0,0,0,40,0
20,13,1,1,0,0,70,1
20,10,1,1,0,0,40,0
70,10,1,1,0,0,20,0
20,9,1,1,0,0,40,0
40,12,1,1,0,0,40,0
60,6,1,1,0,0,2,0
18,7,1,0,0,0,22,0
30,4,1,1,0,0,40,0
18,9,1,1,0,0,30,0
50,13,1,1,0,0,40,0
40,9,1,0,0,0,40,0
50,9,1,1,0,0,48,0
40,9,1,0,14344,0,40,1
50,9,1,0,0,0,35,0
40,9,1,1,0,0,40,1
30,14,1,1,0,0,50,0
30,5,1,1,0,0,40,0
40,16,1,0,0,0,50,1
50,11,1,1,0,0,40,0
30,10,1,0,0,0,40,0
20,10,0,0,0,0,25,0
30,9,0,0,0,1573,35,0
30,13,1,1,0,0,40,1
20,10,1,1,0,0,50,0
40,16,1,1,0,1902,60,1
30,10,1,1,0,0,48,1
40,12,1,0,0,0,40,0
30,9,0,1,0,0,40,0
70,14,1,1,0,0,40,1
40,13,1,1,15024,0,60,1
40,14,1,0,0,0,50,0
20,10,1,0,0,0,40,0
20,9,1,1,0,0,40,0
30,9,1,1,7688,0,40,1
17,6,1,0,34095,0,32,0
30,7,1,1,0,0,40,0
30,9,1,0,0,0,40,0
40,9,1,1,0,0,40,0
20,13,1,1,0,0,40,0
30,15,1,1,0,0,40,1
50,9,1,1,0,1887,50,1
20,10,1,0,4064,0,25,0
30,9,1,0,0,0,40,0
50,5,1,1,0,0,50,0
50,10,1,1,0,0,50,0
40,11,0,1,0,0,40,1
50,10,1,1,0,0,56,0
20,9,1,1,0,0,41,0
20,10,1,0,0,0,40,0
40,13,1,1,0,0,60,0
30,13,0,1,0,0,40,0
20,13,1,1,0,0,50,1
19,10,0,1,0,0,35,0
40,13,1,0,0,0,40,1
20,10,1,0,0,1719,28,0
30,12,1,1,0,0,40,1
30,9,1,1,0,0,40,0
30,10,1,1,0,0,40,0
20,12,1,0,0,0,60,0
20,9,1,0,0,1762,40,0
30,9,1,1,4386,0,35,0
30,13,1,1,0,0,50,0
40,12,0,0,0,0,36,0
30,14,1,1,0,0,40,1
40,9,1,1,0,0,60,0
20,11,1,0,0,0,35,0
20,10,1,1,0,0,20,0
40,10,0,1,0,0,40,1
60,9,1,1,0,0,40,0
20,10,1,0,0,0,40,0
19,10,1,1,0,0,30,0
40,11,1,0,0,1564,40,1
70,10,1,1,0,0,40,0
30,9,0,0,0,0,30,0
20,10,1,1,0,0,24,0
30,9,1,0,0,0,24,0
60,7,1,1,0,2179,40,0
40,10,1,0,0,0,40,0
40,10,1,0,0,0,38,0
30,9,1,0,0,0,40,0
30,13,0,0,0,0,40,0
20,9,1,1,0,0,35,0
50,9,1,1,0,0,45,1
40,9,1,1,0,0,46,0
20,13,1,1,0,0,40,0
70,10,0,1,0,1816,2,0
20,9,1,1,0,0,60,0
40,13,0,1,0,0,50,0
60,2,1,0,0,0,20,0
20,9,1,0,0,0,40,0
40,14,0,0,0,0,40,0
20,9,0,0,0,0,40,0
40,14,1,1,0,0,40,1
30,10,1,0,0,0,40,0
30,12,1,1,0,0,42,0
40,14,1,1,0,0,40,0
18,7,1,1,0,0,16,0
60,11,1,0,0,0,20,0
20,9,1,1,0,1980,40,0
20,9,1,1,0,0,40,0
50,10,1,1,0,1977,40,1
20,13,1,1,0,0,50,0
20,13,1,1,0,0,40,1
20,9,1,0,0,0,25,0
20,9,0,1,0,0,40,0
30,9,0,1,0,0,40,0
18,9,1,1,0,0,12,0
